Date,Open,High,Low,Close,Volume
2018-11-12,5.00384,5.02591,4.67373,4.69549,622747654
2018-11-13,4.79334,5.05935,4.78707,4.93743,650592510
2018-11-14,5.11127,5.12557,4.77709,4.88531,531382645
2018-11-15,4.87931,5.0863,4.84317,5.01392,848378165
2018-11-16,4.04595,4.22779,4.00343,4.07363,1981431554
2018-11-19,4.00802,4.00871,3.58323,3.58503,1713308778
2018-11-20,3.32116,3.82148,3.30247,3.6934,1707469035
2018-11-21,3.83048,3.84726,3.5578,3.58523,1034849268
2018-11-23,3.55031,3.70597,3.53812,3.59242,415726716
2018-11-26,3.71356,3.80214,3.63097,3.79186,822265650
2018-11-27,3.76568,3.8896,3.72992,3.80862,744793275
2018-11-28,3.92613,3.97077,3.79366,3.96547,811864900
2018-11-29,3.96777,4.00472,3.87222,3.90219,553629589
2018-11-30,3.91188,4.06334,3.86162,4.05264,735484182
2018-12-03,4.28011,4.33202,4.14971,4.2168,898032253
2018-12-04,4.17207,4.17707,3.88092,3.8959,818700888
2018-12-06,3.75549,3.93033,3.7399,3.92534,697927012
2018-12-07,3.92953,3.93983,3.61122,3.66065,687209149
2018-12-10,3.61569,3.79086,3.61202,3.76588,634580929
2018-12-11,3.85762,3.86592,3.59572,3.67504,677365189
2018-12-12,3.68073,3.78886,3.59143,3.6927,659443601
2018-12-13,3.7395,3.80363,3.65635,3.6924,475209782
2018-12-14,3.65066,3.73451,3.60822,3.63197,475649537
2018-12-17,3.60172,3.67404,3.50287,3.56049,668245728
2018-12-18,3.60442,3.72822,3.57726,3.64417,568949330
2018-12-19,3.61022,3.66394,3.38334,3.43498,751413751
2018-12-20,3.42649,3.51685,3.29019,3.35038,755669984
2018-12-21,3.37677,3.40973,3.18555,3.21302,870749374
2018-12-24,3.13692,3.22319,3.08752,3.15127,467602655
2018-12-26,3.19754,3.30148,3.08652,3.30049,700739433
2018-12-27,3.24834,3.2825,3.10447,3.25234,642212101
2018-12-28,3.27291,3.40703,3.23138,3.31416,633592285
2018-12-31,3.35777,3.39033,3.2795,3.31047,468914200
2019-01-02,3.23966,3.43428,3.22489,3.37806,512881613
2019-01-03,3.31766,3.35178,3.16627,3.17387,711276216
2019-01-04,3.24704,3.41551,3.2162,3.37737,590370994
2019-01-07,3.43468,3.59302,3.38334,3.5561,714913286
2019-01-08,3.63797,3.64017,3.39473,3.46793,792394875
2019-01-09,3.51935,3.58323,3.46863,3.53632,622267388
2019-01-10,3.51685,3.61022,3.45625,3.60142,527401091
2019-01-11,3.57925,3.71375,3.55131,3.69091,881860443
2019-01-14,3.63867,3.75589,3.61499,3.73091,736094532
2019-01-15,3.76348,3.80284,3.69839,3.71674,622016494
2019-01-16,3.7439,3.77687,3.68541,3.6911,473918037
2019-01-17,3.65815,3.80244,3.63097,3.76248,497439921
2019-01-18,3.81201,3.91755,3.76068,3.8916,656621866
2019-01-22,3.86142,3.87322,3.65915,3.68941,666918811
2019-01-23,3.7447,3.83328,3.67104,3.70227,595817340
2019-01-24,3.78686,3.93183,3.78217,3.91417,714723062
2019-01-25,3.85462,3.98925,3.75189,3.97147,1164595355
2019-01-28,3.38633,3.51287,3.24854,3.4225,2531905241
2019-01-29,3.37637,3.4247,3.24884,3.26303,1163296870
2019-01-30,3.3396,3.4215,3.25954,3.40703,982134418
2019-01-31,3.40373,3.60042,3.38204,3.56479,849692353
2019-02-01,3.58343,3.64037,3.53632,3.58923,630118569
2019-02-04,3.60502,3.7367,3.58303,3.69969,532889691
2019-02-05,3.71156,3.75519,3.67783,3.71873,546826230
2019-02-06,3.75169,3.85862,3.7465,3.79446,708165650
2019-02-07,3.7479,3.74989,3.61301,3.65595,642289587
2019-02-08,3.58873,3.68511,3.57426,3.67454,465350940
2019-02-11,3.63037,3.68471,3.58343,3.63197,499198492
2019-02-12,3.67024,3.76448,3.65595,3.74889,595856338
2019-02-13,3.77847,3.86442,3.76468,3.79146,610284010
2019-02-14,3.79046,3.86022,3.7472,3.83198,833975341
2019-02-15,4.04066,4.06364,3.87922,3.90159,1529056282
2019-02-19,3.8912,3.96507,3.87222,3.88441,556370654
2019-02-20,3.91357,3.99873,3.90239,3.93183,545379053
2019-02-21,3.94451,3.96907,3.84825,3.86292,452186181
2019-02-22,3.91457,3.96647,3.90089,3.9478,405000982
2019-02-25,4.03099,4.09858,3.92653,3.93533,661342140
2019-02-26,3.93053,3.98625,3.86242,3.8956,492426189
2019-02-27,3.88142,3.90789,3.79715,3.85393,504314276
2019-02-28,3.84765,3.87022,3.80713,3.82928,327241929
2019-03-01,3.87942,3.92583,3.82069,3.88361,359714603
2019-03-04,3.92215,3.9451,3.83528,3.8919,412891140
2019-03-05,3.87642,3.92355,3.82168,3.88541,365492874
2019-03-06,3.87662,3.88491,3.77187,3.77467,406381429
2019-03-07,3.75089,3.76068,3.65915,3.70527,453290316
